,episode_name,userReviewsNum,storyLine,ratings_distribution,US_ratings,US_votenums,nonUS_ratings,nonUS_votenums,All_All_rating,All_All_totalVotesNum,All_<18_rating,All_<18_totalVotesNum,All_18-29_rating,All_18-29_totalVotesNum,All_30-44_rating,All_30-44_totalVotesNum,All_45+_rating,All_45+_totalVotesNum,Male_All_rating,Male_All_totalVotesNum,Male_<18_rating,Male_<18_totalVotesNum,Male_18-29_rating,Male_18-29_totalVotesNum,Male_30-44_rating,Male_30-44_totalVotesNum,Male_45+_rating,Male_45+_totalVotesNum,Female_All_rating,Female_All_totalVotesNum,Female_<18_rating,Female_<18_totalVotesNum,Female_18-29_rating,Female_18-29_totalVotesNum,Female_30-44_rating,Female_30-44_totalVotesNum,Female_45+_rating,Female_45+_totalVotesNum,keyWords
0,Pilot,25,"The regional manager of a mid-range paper supply company, Michael Scott, is upset and concerned with his immediate superior Jan Levinson tells him that there may be downsizing at his branch. Meanwhile, other employees' reactions to the rumor such as Dwight Schrute, Jim Halpert, and Pam Beesly and unveiled.","[1167, 606, 1951, 2315, 890, 311, 129, 60, 72, 161]",7.6,1411,7.2,2529,7.4,7662,7.7,29,7.4,1655,7.3,2259,7.3,704,7.4,4271,7.7,21,7.4,1399,7.3,1930,7.2,571,7.3,678,8.5,4,7.3,213,7.2,292,7.6,128,"['pudding', 'boss', 'office', 'team']"
1,Diversity Day,11,"When Michael imitates a Chris Rock comedy routine, many people in the office are offended, prompting corporate to send in a sensitivity worker to give the Scranton office a diversity training day. When Michael is dissatisfied with the training, he creates his own diversity course (""Diversity Tomorrow""). Meanwhile, Jim loses one of his big commissions for the year.","[1812, 1620, 2299, 1011, 384, 139, 53, 31, 42, 133]",8.5,1454,7.9,2370,8.2,7524,8,24,8.2,1616,8.1,2199,8,661,8.1,4135,8.2,18,8.3,1365,8.1,1872,7.9,530,8.1,678,8.7,3,8,212,7.9,298,8.3,126,"['reference to abraham lincoln', 'tolerance', 'seminar', 'racism']"
2,Health Care,8,"When Michael is forced to pick a low-grade health care plan for his employees, he tells Dwight to do it for him. When Dwight chooses an extraordinarily bad plan for the Scranton Branch, the workers complain and Michael hides in his office, not wanting to face the wrath of his employees.","[884, 709, 2179, 1638, 484, 155, 60, 21, 41, 107]",8,1206,7.5,2076,7.7,6278,7.6,19,7.7,1362,7.6,1884,7.7,573,7.7,3549,7.9,14,7.7,1171,7.6,1615,7.7,464,7.7,548,8.3,3,7.8,166,7.5,242,7.8,104,"['office', 'healthcare']"
3,The Alliance,7,"Since the rumors of downsizing have occurred in the Scranton branch, Dwight thinks its best to secretly partner with Jim to have each others backs on it, while Jim takes this as an opportunity to have this as one of his pranks against Dwight.","[967, 896, 2354, 1208, 344, 101, 41, 13, 26, 107]",8.2,1168,7.8,1985,7.9,6057,7.9,17,7.9,1330,7.9,1816,7.9,533,7.9,3414,8.1,12,7.9,1138,7.9,1561,7.9,428,8,531,8.7,3,8.1,165,7.8,230,8,101,['box']
4,Basketball,8,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.,"[1644, 1657, 2058, 799, 307, 83, 32, 13, 23, 120]",8.5,1281,8.1,2128,8.3,6736,8.3,20,8.4,1480,8.2,1957,8.1,566,8.3,3734,8.2,14,8.4,1269,8.2,1689,8.1,452,8.1,571,8.7,3,8.3,178,8,242,8.2,111,"['reference to lord of the rings', 'game', 'basketball', 'team']"
5,Hot Girl,12,"When a purse saleswoman enters the office to sell her purses, she gets declined, but when Michael lays his eyes upon her, he decides she can stay at the office and sell her purses to the workers there. But not only Michael has his eyes on her, other employees and Jim look to share a date with her too.","[886, 579, 1946, 1659, 545, 154, 43, 21, 34, 110]",7.9,1170,7.5,1976,7.6,5977,7.4,16,7.6,1284,7.6,1823,7.7,545,7.6,3377,7.6,11,7.7,1099,7.6,1557,7.7,437,7.6,537,8,3,7.6,160,7.6,245,7.7,103,[]
6,The Dundies,7,"The time comes for the annual Dundies Awards to award everyone in the office with their fine work with odd categories. Created my Michael, he is overly excited for it while everyone else couldn't care less. Michael sends Pam to look at highlights from the past Dundies while preparing to have this years Dundies as Chili's.","[2127, 2033, 1564, 580, 195, 65, 25, 7, 27, 112]",8.8,1365,8.3,2045,8.6,6735,8.7,22,8.6,1451,8.5,1969,8.4,584,8.5,3656,8.7,15,8.6,1218,8.5,1655,8.3,461,8.7,654,9,3,8.8,197,8.6,295,8.9,118,[]
7,Sexual Harassment,6,The office reviews its sexual harassment policy in light of explicit e-mails.,"[1164, 1103, 2143, 862, 267, 70, 26, 12, 31, 104]",8.3,1168,8,1844,8.1,5782,7.9,17,8.1,1264,8.1,1724,8.1,519,8.1,3250,7.8,12,8.1,1080,8.1,1485,8,415,8,512,8.3,3,8,158,7.9,223,8.5,99,['sexual harassment']
8,Office Olympics,8,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games.","[1170, 1331, 1969, 795, 236, 60, 14, 13, 21, 96]",8.4,1169,8,1810,8.2,5705,8.1,17,8.2,1243,8.2,1710,8.1,515,8.2,3183,8.2,12,8.2,1056,8.2,1455,8,406,8.3,536,8,3,8.4,161,8.1,239,8.5,105,['game']
9,The Fire,8,"A fire in the kitchen causes everyone to spend the rest of the day at the parking lot, while goofing off and playing games. On the other hand Michael is trying his best to explain business to Ryan, with a annoyed Dwight trying to get attention from Michael.","[1211, 1253, 1930, 774, 258, 62, 13, 7, 30, 86]",8.3,1151,8,1782,8.2,5624,8.5,18,8.2,1221,8.1,1685,7.9,496,8.2,3121,8.8,13,8.2,1029,8.1,1431,7.9,393,8.2,531,8.3,3,8.2,164,8.1,238,8.4,99,"['staff', 'reference to star wars', 'reference to harry potter', 'fire']"
10,Halloween,6,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party.","[905, 887, 2039, 980, 255, 67, 19, 12, 26, 88]",8.2,1106,7.9,1683,8,5278,7.6,16,8,1166,8,1568,7.9,496,8,3001,7.7,11,8,999,8,1356,7.9,399,8,464,8.3,3,8,146,7.9,196,8.3,94,"['firing an employee', 'halloween episode', 'halloween party', 'halloween', 'two headed costume', '8 more']"
11,The Fight,5,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.,"[969, 883, 1954, 991, 265, 67, 22, 11, 18, 100]",8.2,1077,7.9,1684,8,5280,7.7,16,8,1167,8,1559,7.8,490,8,2988,7.8,11,8,995,8,1350,7.8,392,8,461,8,3,8.1,149,7.8,192,8.2,94,"['spit in the mouth', ""spitting into someone's mouth"", ""spitting in someone's mouth"", 'karate']"
12,The Client,7,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office.","[1461, 1703, 1560, 498, 158, 44, 12, 13, 24, 91]",8.7,1102,8.4,1755,8.5,5564,8.1,17,8.5,1208,8.5,1635,8.3,507,8.5,3099,8.3,12,8.5,1034,8.5,1402,8.3,396,8.4,502,8.3,3,8.4,150,8.3,214,8.7,105,['office']
