name,born_year,bio,Filmography
Paul Feig,1962,"
          Paul Feig is an American film director and writer who is known for creating Freaks and Geeks and directing Bridesmaids, The Heat, Spy and A Simple Favor. He also directed the highly controversial 2016 reboot of Ghostbusters. The failure of the reboot resulted in the production of Ghostbusters: Afterlife, which completely ignored the reboot. He also directed episodes of The Office. 
          ","The School for Good and Evil;Welcome to Flatch;Last Christmas;Girls Code;A Simple Favor;Jimmy Returns, The 2018 Oscars;Jimmy's Guide to How to Win an Oscar;Ghostbusters;Spy;People in New Jersey;The Heat;Bridesmaids;The Office;Nurse Jackie;Ronna & Beverly;Bored to Death;Parks and Recreation;Weeds;Mad Men;30 Rock;Unaccompanied Minors;Early Bird;Arrested Development;I Am David;Undeclared;Freaks and Geeks;Life Sold Separately"
Randall Einhorn,1963,"
          Randall Einhorn was born on December 7, 1963 in Cincinnati, Ohio, USA. He is a director and producer, known for   (2005),   (2014) and   (2009). 
          ",The Office;The Quest;Dog Bites Man;Coachella;NASCAR Drivers: 360;Eco-Challenge New Zealand;Eco-Challenge Borneo;Medicine in the Extreme: An Eco-Challenge Special;Eco-Challenge Argentina;Eco-Challenge Morocco;Eco-Challenge Australia
Ken Kwapis,1957,"
          Ken Kwapis is an award-winning director of motion pictures and television. He has directed eleven feature films, among them A Walk In The Woods, based on Bill Bryson's acclaimed comedic memoir; He's Just Not That Into You, inspired by the New York Times bestselling advice book; and The Sisterhood of the Traveling Pants, adapted from the beloved young adult novel. Other films include the rescue adventure Big Miracle, and the romantic comedies License to Wed and He Said, She Said (co-directed with Marisa Silver). His feature debut was Sesame Street Presents: Follow That Bird, starring Jim Henson's Muppets. For television, Kwapis helped launch nine series, including the groundbreaking HBO comedy The Larry Sanders Show, Fox's Emmy Award-winning The Bernie Mac Show, and NBC's The Office. Kwapis directed the pilot of The Office and its series finale, along with many memorable episodes -""Casino Night,"" Booze Cruise,"" ""Diversity Day,"" to name a few. He earned an Emmy nomination for directing the episode ""Gay Witch Hunt."" Kwapis also earned an Emmy nomination for his work as a producer-director of Fox's Malcolm In The Middle. Other series Kwapis helped launch include NBC's Outsourced, Showtime's Happyish, and Netflix's #blackAF. He directed numerous episodes of shows such as Freaks and Geeks, One Mississippi, and Santa Clarita Diet. Kwapis studied filmmaking at Northwestern University and the University of Southern California. He won the Student Academy Award in Dramatic Achievement for his USC thesis film ""For Heaven's Sake,"" an adaptation of Mozart's one-act comic opera Der Schauspieldirektor (""The Impresario""). 
          ",Sexual Life
Greg Daniels,1963,"
          Greg Daniels was born on June 13, 1963 in Brooklyn, New York City, New York, USA. He is a producer and writer, known for   (2005),   (2009) and   (1997). He has been married to   since September 15, 1991. They have four children. 
          ",Upload;People of Earth;Parks and Recreation;The Mindy Project;Hello Ladies;The Office
Jeffrey Blitz,,"
          Jeffrey Blitz is an American director, screenwriter and producer best known for the documentary Spellbound (2003), the fiction film Rocket Science (2007) and his television work on The Office (2007 - 2010) and Review (2014 - 2017). His work is noted for its blending of absurdist comedy and heart. Blitz is a two-time Emmy award winner, the winner of the Directing Prize at Sundance and an Academy Award nominee. 
          ",Review;Table 19;Rocket Science
Ken Whittingham,,,Moesha;Malcolm & Eddie
David Rogers,,,Upload;Space Force;The Mindy Project;The Office
Charles McDougall,,"
          Charles McDougall is a director and producer, known for   (2004),   (1999) and   (2002). 
          ",Ana
Matt Sohn,,,"Home Economics;Abbott Elementary;American Auto;Drama Club;Superstore;The Unicorn;At Home with Amy Sedaris;The Last O.G.;Mixed-ish;Florida Girls;The Kids Are Alright;Trial & Error;Ghosted;Me, Myself and I;The Mick;Powerless;Fresh Off the Boat;Those Who Can't;Black-ish;Angie Tribeca;Cooper Barrett's Guide to Surviving Life;The Muppets.;The Grinder;Other Space;Us & Them;Bad Teacher;Growing Up Fisher;Trophy Wife;The Crazy Ones;Enlisted;The Goldbergs;The Office;New Girl;Ben and Kate;Parks and Recreation;1000 Ways to Die"
Paul Lieberstein,1967,"
          Paul Lieberstein was born on February 22, 1967 in Westport, Connecticut, USA. He is a producer and actor, known for   (2005),   (1997) and   (2018). He has been married to   since July 19, 2008. 
          ","Middlespace: The Rebels Attack, and Then the Other Side Attacks as Well;Space Force;The Office;Ghosted;Konttori;Song of Back and Neck;The Office;The Office: The Accountants;Dead Like Me;The Bernie Mac Show;Greg the Bunny;The Drew Carey Show;King of the Hill;The Naked Truth;Weird Science;Clarissa Explains It All"
