name,rating,total_votes,user_reviews,critic_reviews,tags,storyLine,keyWords
Empire Waist,,,,,Comedy;Drama,,
Weird: The Al Yankovic Story,,,,,Biography;Comedy;Music,,
Hitpig,,,,,Animation,,
Jerry and Marge Go Large,,,,,Biography;Comedy;Drama,,based on magazine article;based on real people;town;friend;love;small town;parent;paramount plus;based on true story;character name in title
Robodog,,,,,Animation;Adventure;Comedy,,
Dark Winds,,,,,Thriller,,
"Middlespace: The Rebels Attack, and Then the Other Side Attacks as Well",9,5,,,Short;Comedy,,audio only
Night Safari,,,1,,Short;Comedy,,
Mom,7.4,34K,267,12,Comedy;Drama;Romance,,recovering alcoholic;alcoholics anonymous;dysfunctional relationship;starting over;troubled past;alcoholism;single mother;restaurant;waitress;mother daughter relationship;dysfunctional family;colleague;driving;happiness;smile;cell phone;laugh track;sitcom comedy;timeframe 2010s;timeframe 21st century;one word title;sobriety;work;father son relationship;father daughter relationship;black comedy;shame;quarrel;promiscuous past;irresponsible father;friendship;selfishness;solidarity;sexuality;awkwardness;car;telephone call;telephone;mother son relationship;job;bed;couch;chair;table;client;customer;wrath;rage;anger;embarrassment;sadness;failure;grudge;clumsiness;foolishness;stupidity;ignorance;bitterness;bedroom;restaurant kitchen;argument;talking about sex;rudeness;laziness;employer employee relationship;cook;chef;kitchen;living room;frustration;sarcasm;irony;house;irresponsibility;insecurity;immaturity;sexual humor;title spoken by character
The Rookie,8.1,33K,605,14,Crime;Drama,,lapd;police officer;rookie cop;los angeles california;male protagonist;white male lead in a diverse cast;male female cop partnership;male police officer;female police officer;rookie police officer;police procedural crime;cop drama;timeframe 2010s;timeframe 2020s;timeframe 21st century
Ráðherrann,7.1,403,9,1,Drama,,iceland;politics;democracy;prime minister;reykjavik iceland;journalist;mental illness
Utopia,6.7,13K,607,37,Action;Drama;Mystery,,cult;internet;saving the world;utopia;underground fiction;graphic novel;met online;deep state;remake of british series;disaster drama;timeframe 21st century;timeframe 2020s
Don't Tell a Soul,5.9,4K,76,22,Drama;Thriller,,money;brother brother relationship;gas mask;written by director;security guard;tv news;sick mother;home invasion;robbery;falling in a hole;trapped;bologna sandwich;motel;suffocated with a plastic bag;walkie talkie;shot in the chest;shot to death;mother son relationship;title spoken by character
Home Movie: The Princess Bride,7.4,1.1K,12,1,Short;Comedy;Fantasy,,tv mini series
Solar Opposites,8,19K,185,26,Animation;Comedy;Sci-Fi,"Escaping Planet Shlorp before the Asteroid hit, Terry, Korvo and their two Replicants crash land on Earth stranding them on a world that they must terraform: with their mysterious 'pet' Pupa. These aliens become a dysfunctional family stuck in suburban America and can't agree whether living on Earth is an awesome or horrible prospect.",alien;home;20th television;disney;hulu;two word title;alien on earth;alien stuck on earth;tiny person;cartoon;adult animation;adult humor;dark comedy;2d animation;artificial intelligence;for grown ups animation;sitcom comedy;timeframe 2020s;timeframe 21st century
Justice League Dark: Apokolips War,7.8,21K,249,27,Animation;Action;Adventure,,based on comic;based on comic book;dc comics;sequel;second part;superhero;occult detective;alien invasion;alien war;saving the world;dc animated movie universe;opening action scene;violence;kiss;love interest;martial arts;mixed martial arts;battle;fictional war;sword;sword fight;hand to hand combat;brawl;fistfight;ninja;superhero team;superheroine;action hero;action heroine;tough guy;tough girl;super villain;hero;villain;murder;blood;blood splatter;shield;bar;beer;beer drinking;magic;shootout;gunfight;gadget;explosion;showdown;final showdown;swamp;epic battle;final battle;flying;aerial battle;fighting in the air;gore;adult animation;disarming someone;pistol;machine gun;rifle;league of assassins;superman character;batman character;wonder woman character;john constantine character;the flash character;cyborg character;lex luthor character;darkseid character;lois lane character;apokolips the planet;time jump;raven character;drunkard;etrigan character;green lantern character;captain marvel a.k.a. shazam character;damian wayne character;trigon character;man in a straightjacket;reference to the lazarus pit;nightwing character;harley quinn character;electrocuted;captain boomerang character;king shark character;swamp thing character;bludgeoned to death;mallet as a weapon;father son fight;martian manhunter character;hawkman character;treadmill;dagger;pentagram;mind control;no opening credits;father daughter relationship;self sacrafice;teen titans;suicide squad
Threat Level Midnight: The Movie,9.7,5.9K,103,,Short;Action;Comedy,,masterpiece;reference to billy joel;reference to catherine zeta jones;reference to bruce wayne;reference to ferris bueller
